dataset,param_set,channel,group_label,reaction,reaction_latex,pathway_weight,line_name,line_label,wavelength_nm,line_area,line_strength_norm,link_weight
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2CB_405.8,$N_2(C \rightarrow B)$ (405.8 nm),405.8,4.2499999999999884e-10,8.415841584158392e-05,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2plus_428,$N_2^{+}$ (428.0 nm),428.0,1.685e-06,0.3336633663366336,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,e + O2 -> e + O + O,$e + O_2 \rightarrow e + O + O$,0.0,OH_308,$OH$ (308.0 nm),308.0,5.9499999999999706e-09,0.0011782178217821721,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,e + O2 -> e + O + O,$e + O_2 \rightarrow e + O + O$,0.0,O_777,$O$ (777.2 nm),777.2,,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,1.0,N2CB_394.2,$N_2(C \rightarrow B)$ (394.2 nm),394.2,3.9500000000000003e-07,0.45402298850574707,0.9712318662404721
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,1.0,N2CB_399.7,$N_2(C \rightarrow B)$ (399.7 nm),399.7,1.1699999999999999e-08,0.013448275862068962,0.028768133759527904
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,1.0,N2plus_391,$N_2^{+}$ (391.44 nm),391.44,0.0,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,1.0,N2plus_428,$N_2^{+}$ (428.0 nm),428.0,0.0,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.4459088500742121,N2_379,$N_2$ (379.0 nm),379.0,8.700000000000001e-07,1.0,0.4402663559718147
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.4459088500742121,N2CB_370.9,$N_2(C \rightarrow B)$ (370.9 nm),370.9,1.1150000000000004e-08,0.01281609195402299,0.005642494102397396
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.4459088500742121,N2_337,$N_2$ (337.0 nm),337.0,0.0,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.4459088500742121,N2CB_353.6,$N_2(C \rightarrow B)$ (353.6 nm),353.6,0.0,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.4459088500742121,N2CB_357.6,$N_2(C \rightarrow B)$ (357.6 nm),357.6,0.0,0.0,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,1.0,N2CB_405.8,$N_2(C \rightarrow B)$ (405.8 nm),405.8,2.79e-07,0.3206896551724137,0.9597523219814241
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,1.0,N2CB_399.7,$N_2(C \rightarrow B)$ (399.7 nm),399.7,1.1699999999999999e-08,0.013448275862068962,0.04024767801857585
