dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Base,487.0,4.68e-08,,1
diameter,0.5mm,Base,488.0,4.7e-08,,1
diameter,0.5mm,Base,489.0,4.71e-08,,1
diameter,0.5mm,Base,490.0,4.72e-08,,1
diameter,0.5mm,Base,491.0,4.76e-08,,1
diameter,0.5mm,Base,492.0,4.79e-08,,1
diameter,0.5mm,Base,493.0,4.82e-08,,1
diameter,0.5mm,Base,494.0,4.86e-08,,1
diameter,0.5mm,Base,495.0,4.89e-08,,1
diameter,0.5mm,Base,496.0,4.92e-08,,1
diameter,0.5mm,Base,497.0,4.95e-08,,1
diameter,0.5mm,Base,498.0,4.99e-08,,1
diameter,0.5mm,Base,499.0,5.02e-08,,1
diameter,0.5mm,Base,500.0,5.05e-08,,1
diameter,0.5mm,Middle,200.0,3.16e-05,,1
diameter,0.5mm,Middle,201.0,2.65e-05,,1
diameter,0.5mm,Middle,202.0,2.28e-05,,1
diameter,0.5mm,Middle,203.0,2e-05,,1
diameter,0.5mm,Middle,204.0,1.78e-05,,1
diameter,0.5mm,Middle,205.0,1.6e-05,,1
diameter,0.5mm,Middle,206.0,1.45e-05,,1
diameter,0.5mm,Middle,207.0,1.32e-05,,1
diameter,0.5mm,Middle,208.0,1.22e-05,,1
diameter,0.5mm,Middle,209.0,1.13e-05,,1
diameter,0.5mm,Middle,210.0,1.05e-05,,1
diameter,0.5mm,Middle,211.0,9.37e-06,,1
diameter,0.5mm,Middle,212.0,8.44e-06,,1
diameter,0.5mm,Middle,213.0,7.68e-06,,1
diameter,0.5mm,Middle,214.0,7.05e-06,,1
diameter,0.5mm,Middle,215.0,6.51e-06,,1
diameter,0.5mm,Middle,216.0,5.64e-06,,1
diameter,0.5mm,Middle,217.0,4.97e-06,,1
diameter,0.5mm,Middle,218.0,4.44e-06,,1
diameter,0.5mm,Middle,219.0,4.02e-06,,1
diameter,0.5mm,Middle,220.0,3.67e-06,,1
diameter,0.5mm,Middle,221.0,3.29e-06,,1
diameter,0.5mm,Middle,222.0,2.98e-06,,1
diameter,0.5mm,Middle,223.0,2.73e-06,,1
diameter,0.5mm,Middle,224.0,2.51e-06,,1
diameter,0.5mm,Middle,225.0,2.33e-06,,1
diameter,0.5mm,Middle,226.0,2.24e-06,,1
diameter,0.5mm,Middle,227.0,2.15e-06,,1
diameter,0.5mm,Middle,228.0,2.08e-06,,1
diameter,0.5mm,Middle,229.0,2e-06,,1
diameter,0.5mm,Middle,230.0,1.94e-06,,1
diameter,0.5mm,Middle,231.0,1.84e-06,,1
diameter,0.5mm,Middle,232.0,1.76e-06,,1
diameter,0.5mm,Middle,233.0,1.68e-06,,1
diameter,0.5mm,Middle,234.0,1.61e-06,,1
diameter,0.5mm,Middle,235.0,1.55e-06,,1
diameter,0.5mm,Middle,236.0,1.4e-06,,1
diameter,0.5mm,Middle,237.0,1.28e-06,,1
diameter,0.5mm,Middle,238.0,1.18e-06,,1
diameter,0.5mm,Middle,239.0,1.1e-06,,1
diameter,0.5mm,Middle,240.0,1.02e-06,,1
diameter,0.5mm,Middle,241.0,9.15e-07,,1
diameter,0.5mm,Middle,242.0,8.28e-07,,1
diameter,0.5mm,Middle,243.0,7.56e-07,,1
diameter,0.5mm,Middle,244.0,6.96e-07,,1
diameter,0.5mm,Middle,245.0,6.45e-07,,1
diameter,0.5mm,Middle,246.0,6.07e-07,,1
diameter,0.5mm,Middle,247.0,5.73e-07,,1
diameter,0.5mm,Middle,248.0,5.43e-07,,1
diameter,0.5mm,Middle,249.0,5.16e-07,,1
diameter,0.5mm,Middle,250.0,4.92e-07,,1
diameter,0.5mm,Middle,251.0,4.92e-07,,1
diameter,0.5mm,Middle,252.0,4.93e-07,,1
diameter,0.5mm,Middle,253.0,4.94e-07,,1
diameter,0.5mm,Middle,254.0,4.95e-07,,1
diameter,0.5mm,Middle,255.0,4.96e-07,,1
diameter,0.5mm,Middle,256.0,5.01e-07,,1
diameter,0.5mm,Middle,257.0,5.07e-07,,1
diameter,0.5mm,Middle,258.0,5.12e-07,,1
diameter,0.5mm,Middle,259.0,5.17e-07,,1
diameter,0.5mm,Middle,260.0,5.23e-07,,1
diameter,0.5mm,Middle,261.0,5.16e-07,,1
diameter,0.5mm,Middle,262.0,5.08e-07,,1
diameter,0.5mm,Middle,263.0,5.02e-07,,1
diameter,0.5mm,Middle,264.0,4.95e-07,,1
diameter,0.5mm,Middle,265.0,4.88e-07,,1
diameter,0.5mm,Middle,266.0,4.65e-07,,1
diameter,0.5mm,Middle,267.0,4.44e-07,,1
diameter,0.5mm,Middle,268.0,4.25e-07,,1
