dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H.cont.trial,bulk,450.0,5.91114e-08,,1
air,100H.cont.trial,bulk,451.0,5.85936e-08,,1
air,100H.cont.trial,bulk,452.0,5.80848e-08,,1
air,100H.cont.trial,bulk,453.0,5.75847e-08,,1
air,100H.cont.trial,bulk,454.0,5.70932e-08,,1
air,100H.cont.trial,bulk,455.0,5.66099e-08,,1
air,100H.cont.trial,bulk,456.0,5.60244e-08,,1
air,100H.cont.trial,bulk,457.0,5.54507e-08,,1
air,100H.cont.trial,bulk,458.0,5.48888e-08,,1
air,100H.cont.trial,bulk,459.0,5.43381e-08,,1
air,100H.cont.trial,bulk,460.0,5.37983e-08,,1
air,100H.cont.trial,bulk,461.0,5.33136e-08,,1
air,100H.cont.trial,bulk,462.0,5.28376e-08,,1
air,100H.cont.trial,bulk,463.0,5.23699e-08,,1
air,100H.cont.trial,bulk,464.0,5.19105e-08,,1
air,100H.cont.trial,bulk,465.0,5.14591e-08,,1
air,100H.cont.trial,bulk,466.0,5.10722e-08,,1
air,100H.cont.trial,bulk,467.0,5.0691e-08,,1
air,100H.cont.trial,bulk,468.0,5.03155e-08,,1
air,100H.cont.trial,bulk,469.0,4.99455e-08,,1
air,100H.cont.trial,bulk,470.0,4.95809e-08,,1
air,100H.cont.trial,bulk,471.0,4.92709e-08,,1
air,100H.cont.trial,bulk,472.0,4.89648e-08,,1
air,100H.cont.trial,bulk,473.0,4.86624e-08,,1
air,100H.cont.trial,bulk,474.0,4.83637e-08,,1
air,100H.cont.trial,bulk,475.0,4.80687e-08,,1
air,100H.cont.trial,bulk,476.0,4.78076e-08,,1
air,100H.cont.trial,bulk,477.0,4.75493e-08,,1
air,100H.cont.trial,bulk,478.0,4.72937e-08,,1
air,100H.cont.trial,bulk,479.0,4.70409e-08,,1
air,100H.cont.trial,bulk,480.0,4.67908e-08,,1
air,100H.cont.trial,bulk,481.0,4.67491e-08,,1
air,100H.cont.trial,bulk,482.0,4.67076e-08,,1
air,100H.cont.trial,bulk,483.0,4.66661e-08,,1
air,100H.cont.trial,bulk,484.0,4.66247e-08,,1
air,100H.cont.trial,bulk,485.0,4.65833e-08,,1
air,100H.cont.trial,bulk,486.0,4.67114e-08,,1
air,100H.cont.trial,bulk,487.0,4.68404e-08,,1
air,100H.cont.trial,bulk,488.0,4.69704e-08,,1
air,100H.cont.trial,bulk,489.0,4.71e-08,,1
air,100H.cont.trial,bulk,490.0,4.72298e-08,,1
air,100H.cont.trial,bulk,491.0,4.75627e-08,,1
air,100H.cont.trial,bulk,492.0,4.79013e-08,,1
