dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
air,1H.9A,bulk,1.0,2.0,335.4,0.0003372813407968,0.0555098000000384,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,2.0,335.4,0.0003372813407968,0.6000000000000227,N2,336.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,2.0,2.0,335.4,0.0003372813407968,0.2690000000000054,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,3.0,356.0,0.000222142317097,0.0,N2,356.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,3.0,3.0,356.0,0.000222142317097,0.2128000000000156,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,8.0,373.6,4.027186133675721e-05,0.3999999999999772,N2,374.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,,8.0,373.6,4.027186133675721e-05,1.6000000000000227,O II,372.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,1.0,8.0,373.6,4.027186133675721e-05,0.0095000000000027,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,5.0,379.0,7.969840686814547e-05,0.0,N2,379.0,configs/target_species_lines.csv,target_match
air,1H.9A,bulk,2.0,5.0,379.0,7.969840686814547e-05,0.3299999999999841,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,2.0,6.0,390.3,6.715211254321032e-05,0.2815500000000384,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.9A,bulk,,6.0,390.3,6.715211254321032e-05,0.3000000000000113,N2+,390.0,configs/target_species_lines.csv,target_match
