peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
4,air,1H.9A,bulk,1,314.0,314.1323653411582,314.1,0.000164827,0.00016508673389068772,1,0.003700000000037562,314.0963,314.0963,314.097313,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,1H.9A,bulk,1,314.0,314.1323653411582,314.1,0.000164827,0.00016508673389068772,2,0.132000000000005,313.968,313.968,313.9678,76400000.0,C,,O II,O,II,O II,,76400000.0,live_nist
4,air,1H.9A,bulk,1,314.0,314.1323653411582,314.1,0.000164827,0.00016508673389068772,3,0.17364000000003443,313.92636,313.92636,313.926372,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,1H.9A,bulk,1,379.0,379.0471531535646,379.0,7.96838e-05,7.969840686814547e-05,1,0.32260000000002265,379.3226,379.3226,379.322798,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,1H.9A,bulk,1,379.0,379.0471531535646,379.0,7.96838e-05,7.969840686814547e-05,2,0.3299999999999841,378.67,,378.67,970000.0,D,,O II,O,II,O II,,970000.0,live_nist
5,air,1H.9A,bulk,1,379.0,379.0471531535646,379.0,7.96838e-05,7.969840686814547e-05,3,0.3618099999999913,378.63819,378.63819,378.638198,1500000.0,B,,Ar II,Ar,II,Ar II,,1500000.0,live_nist
6,air,1H.9A,bulk,1,390.0,390.25185159115614,390.3,6.67466e-05,6.715211254321032e-05,1,0.23749000000003662,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
6,air,1H.9A,bulk,1,390.0,390.25185159115614,390.3,6.67466e-05,6.715211254321032e-05,2,0.2815500000000384,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
6,air,1H.9A,bulk,1,390.0,390.25185159115614,390.3,6.67466e-05,6.715211254321032e-05,3,0.3949999999999818,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.9A,bulk,1,206.0,205.88636994229435,205.9,5.05826e-05,5.10174744460707e-05,1,0.019729999999981374,205.91973,205.91973,205.919705,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.9A,bulk,1,206.0,205.88636994229435,205.9,5.05826e-05,5.10174744460707e-05,2,0.09165000000001555,205.80835,205.80835,205.80832,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.9A,bulk,1,206.0,205.88636994229435,205.9,5.05826e-05,5.10174744460707e-05,3,0.10790000000000077,206.0079,206.0079,206.007466,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,1H.9A,bulk,1,374.0,373.6183214477978,373.6,3.91759e-05,4.027186133675721e-05,1,0.009500000000002728,373.6095,,373.6095,89900.0,C,,O II,O,II,O II,,89900.0,live_nist
8,air,1H.9A,bulk,1,374.0,373.6183214477978,373.6,3.91759e-05,4.027186133675721e-05,2,0.021600000000034925,373.5784,373.5784,373.5786,29200000.0,C,,O II,O,II,O II,,29200000.0,live_nist
8,air,1H.9A,bulk,1,374.0,373.6183214477978,373.6,3.91759e-05,4.027186133675721e-05,3,0.02240000000000464,373.5776,373.5776,373.57775,,,,C I,C,I,C I,,,live_nist
9,air,1H.9A,bulk,1,297.0,296.5868166472808,296.6,3.16453e-05,3.3149731576002154e-05,1,0.009799999999984266,296.6098,296.6098,296.6088,,,,O II,O,II,O II,,,live_nist
9,air,1H.9A,bulk,1,297.0,296.5868166472808,296.6,3.16453e-05,3.3149731576002154e-05,2,0.11540000000002237,296.4846,296.4846,296.48471,9.0,D,,C I,C,I,C I,,9.0,live_nist
9,air,1H.9A,bulk,1,297.0,296.5868166472808,296.6,3.16453e-05,3.3149731576002154e-05,3,0.12239999999997053,296.7224,296.7224,296.72229,21.0,D,,C I,C,I,C I,,21.0,live_nist
10,air,1H.9A,bulk,1,270.0,270.08682929592686,270.1,2.70994e-05,2.7185905856799532e-05,1,0.07189999999997099,270.1719,270.1719,270.172905,,,,Ar II,Ar,II,Ar II,,,live_nist
10,air,1H.9A,bulk,1,270.0,270.08682929592686,270.1,2.70994e-05,2.7185905856799532e-05,2,0.3626000000000431,269.7374,269.7374,269.73693,,,,Ar II,Ar,II,Ar II,,,live_nist
10,air,1H.9A,bulk,1,270.0,270.08682929592686,270.1,2.70994e-05,2.7185905856799532e-05,3,0.4881000000000313,269.6119,269.6119,269.6117592,602340.0,AAA,,He I,He,I,He I,,602340.0,live_nist
