dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H,bulk,415.0,5.197266666666667e-08,1.8629766085577493e-08,3
air,100H,bulk,416.0,6.315986666666667e-08,1.269230890473969e-09,3
air,100H,bulk,417.0,6.326996666666666e-08,3.877859995323886e-09,3
air,100H,bulk,418.0,6.419253333333332e-08,1.5781021301973253e-10,3
air,100H,bulk,419.0,7.185056666666668e-08,2.308315603060663e-09,3
air,100H,bulk,420.0,5.5833166666666666e-08,2.886010217122132e-09,3
air,100H,bulk,421.0,3.036106666666667e-08,1.2716028501200104e-08,3
air,100H,bulk,422.0,1.0608343333333333e-07,1.605697186904596e-08,3
air,100H,bulk,423.0,1.8792533333333333e-07,4.74757964581252e-08,3
air,100H,bulk,424.0,9.421773333333334e-08,2.3801847042894243e-08,3
air,100H,bulk,425.0,5.852196666666666e-07,1.9901753011816155e-07,3
air,100H,bulk,426.0,1.0776163333333332e-06,3.7488074797238296e-07,3
air,100H,bulk,427.0,4.2124066666666665e-06,1.6137443047872651e-06,3
air,100H,bulk,428.0,7.2925966666666664e-06,5.1848279532915385e-06,3
air,100H,bulk,429.0,8.674921333333333e-06,9.733400354148869e-06,3
air,100H,bulk,430.0,7.245010666666667e-06,9.617672965225078e-06,3
air,100H,bulk,431.0,3.755379e-06,5.874741777020757e-06,3
air,100H,bulk,432.0,1.4157139999999998e-06,2.0910575164765312e-06,3
air,100H,bulk,433.0,2.2617880000000002e-07,1.4675197567978428e-07,3
air,100H,bulk,434.0,1.4255783333333333e-07,8.858868263544352e-08,3
air,100H,bulk,435.0,5.402473333333334e-08,2.713289373902705e-08,3
air,100H,bulk,436.0,9.766606666666667e-08,8.156472003172287e-08,3
air,100H,bulk,437.0,6.480583333333333e-08,9.847857905825723e-10,3
air,100H,bulk,438.0,5.5762566666666666e-08,2.0676452465143373e-08,3
air,100H,bulk,439.0,6.4311e-08,1.179312325043706e-09,3
air,100H,bulk,440.0,6.563393333333332e-08,5.15229934527618e-09,3
