dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
air,5H..5A,bulk,1.0,10.0,309.0,5.695508640581117e-05,0.0375999999999976,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,10.0,309.0,5.695508640581117e-05,1.0,OH,308.0,configs/target_species_lines.csv,target_match
air,5H..5A,bulk,,8.0,313.8,0.0001132614840261,1.1999999999999886,N2,315.0,configs/target_species_lines.csv,target_match
air,5H..5A,bulk,1.0,8.0,313.8,0.0001132614840261,0.0335000000000036,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,1.0,2.0,335.5,0.000176548832692,0.0444901999999842,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,2.0,335.5,0.000176548832692,0.5,N2,336.0,configs/target_species_lines.csv,target_match
air,5H..5A,bulk,2.0,2.0,335.5,0.000176548832692,0.3690000000000282,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,1.0,7.0,355.5,0.0001167179849942,0.0459346000000095,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,7.0,355.5,0.0001167179849942,0.5,N2,356.0,configs/target_species_lines.csv,target_match
air,5H..5A,bulk,2.0,5.0,390.1,0.0001238158442701,0.0815500000000497,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..5A,bulk,,5.0,390.1,0.0001238158442701,0.1000000000000227,N2+,390.0,configs/target_species_lines.csv,target_match
air,5H..5A,bulk,3.0,5.0,390.1,0.0001238158442701,0.469600000000014,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,1.0,201.3,0.0003192908913779,,Unassigned,,,sub300_unassigned
air,5H..9A,bulk,1.0,5.0,207.8,0.0001583493397933,0.1052999999999997,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,8.0,227.9,5.8159570546121067e-05,,Unassigned,,,sub300_unassigned
air,5H..9A,bulk,2.0,9.0,235.5,5.614791283232396e-05,0.0790000000000077,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,4.0,313.8,0.000160256126891,1.1999999999999886,N2,315.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,1.0,4.0,313.8,0.000160256126891,0.0335000000000036,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,1.0,2.0,335.4,0.0002898572666698,0.0555098000000384,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,2.0,335.4,0.0002898572666698,0.6000000000000227,N2,336.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,2.0,2.0,335.4,0.0002898572666698,0.2690000000000054,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,3.0,355.9,0.0001723062242819,0.1000000000000227,N2,356.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,,10.0,374.3,4.2680743460257975e-05,0.3000000000000113,N2,374.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,3.0,10.0,374.3,4.2680743460257975e-05,0.1286000000000058,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,7.0,378.7,7.680602703015349e-05,0.3000000000000113,N2,379.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,1.0,7.0,378.7,7.680602703015349e-05,0.0299999999999727,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,2.0,6.0,390.1,0.0001067019616074,0.0815500000000497,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,5H..9A,bulk,,6.0,390.1,0.0001067019616074,0.1000000000000227,N2+,390.0,configs/target_species_lines.csv,target_match
air,5H..9A,bulk,3.0,6.0,390.1,0.0001067019616074,0.469600000000014,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
