dataset,sample_id,param_set,trial,channel,wavelength_nm,irradiance_W_m2_nm
air,air__100H.1__bulk,100H,1,bulk,322.0,6.94223e-08
air,air__100H.1__bulk,100H,1,bulk,323.0,1.02158e-07
air,air__100H.1__bulk,100H,1,bulk,324.0,1.34065e-07
air,air__100H.1__bulk,100H,1,bulk,325.0,2.29517e-07
air,air__100H.1__bulk,100H,1,bulk,326.0,1.93638e-08
air,air__100H.1__bulk,100H,1,bulk,327.0,2.56828e-07
air,air__100H.1__bulk,100H,1,bulk,328.0,4.93077e-07
air,air__100H.1__bulk,100H,1,bulk,329.0,1.32848e-06
air,air__100H.1__bulk,100H,1,bulk,330.0,6.62548e-07
air,air__100H.1__bulk,100H,1,bulk,331.0,5.06165e-06
air,air__100H.1__bulk,100H,1,bulk,332.0,9.32809e-06
air,air__100H.1__bulk,100H,1,bulk,333.0,4.0675e-05
air,air__100H.1__bulk,100H,1,bulk,334.0,7.75094e-05
air,air__100H.1__bulk,100H,1,bulk,335.0,0.000103892
air,air__100H.1__bulk,100H,1,bulk,336.0,0.00010398
air,air__100H.1__bulk,100H,1,bulk,337.0,7.8012e-05
air,air__100H.1__bulk,100H,1,bulk,338.0,3.96238e-05
air,air__100H.1__bulk,100H,1,bulk,339.0,6.78703e-06
air,air__100H.1__bulk,100H,1,bulk,340.0,3.37483e-06
air,air__100H.1__bulk,100H,1,bulk,341.0,2.33686e-06
air,air__100H.1__bulk,100H,1,bulk,342.0,1.27983e-06
air,air__100H.1__bulk,100H,1,bulk,343.0,1.26638e-07
air,air__100H.1__bulk,100H,1,bulk,344.0,1.18257e-07
air,air__100H.1__bulk,100H,1,bulk,345.0,1.09717e-07
air,air__100H.1__bulk,100H,1,bulk,346.0,2.13701e-07
air,air__100H.1__bulk,100H,1,bulk,347.0,6.74101e-08
air,air__100H.1__bulk,100H,1,bulk,348.0,1.41073e-07
air,air__100H.1__bulk,100H,1,bulk,349.0,2.146e-07
air,air__100H.1__bulk,100H,1,bulk,350.0,6.70984e-07
air,air__100H.1__bulk,100H,1,bulk,351.0,3.35894e-07
air,air__100H.1__bulk,100H,1,bulk,352.0,2.56371e-06
air,air__100H.1__bulk,100H,1,bulk,353.0,4.79688e-06
air,air__100H.1__bulk,100H,1,bulk,354.0,2.03118e-05
air,air__100H.1__bulk,100H,1,bulk,355.0,3.6019e-05
air,air__100H.1__bulk,100H,1,bulk,356.0,4.19776e-05
air,air__100H.1__bulk,100H,1,bulk,357.0,2.92344e-05
air,air__100H.1__bulk,100H,1,bulk,358.0,6.37352e-06
air,air__100H.1__bulk,100H,1,bulk,359.0,3.17961e-06
air,air__100H.1__bulk,100H,1,bulk,360.0,2.19404e-06
air,air__100H.1__bulk,100H,1,bulk,361.0,1.19882e-06
air,air__100H.1__bulk,100H,1,bulk,362.0,3.11542e-07
air,air__100H.1__bulk,100H,1,bulk,363.0,1.81548e-07
air,air__100H.1__bulk,100H,1,bulk,364.0,5.49973e-08
air,air__100H.1__bulk,100H,1,bulk,365.0,1.62732e-07
air,air__100H.1__bulk,100H,1,bulk,366.0,8.90933e-08
air,air__100H.1__bulk,100H,1,bulk,367.0,5.92284e-08
air,air__100H.1__bulk,100H,1,bulk,368.0,8.35789e-08
air,air__100H.1__bulk,100H,1,bulk,369.0,1.10032e-07
air,air__100H.1__bulk,100H,1,bulk,370.0,6.88425e-08
air,air__100H.1__bulk,100H,1,bulk,371.0,1.04786e-07
air,air__100H.1__bulk,100H,1,bulk,372.0,1.39286e-07
air,air__100H.1__bulk,100H,1,bulk,373.0,4.05892e-07
air,air__100H.1__bulk,100H,1,bulk,374.0,1.9903e-07
air,air__100H.1__bulk,100H,1,bulk,375.0,9.76101e-07
air,air__100H.1__bulk,100H,1,bulk,376.0,1.71299e-06
air,air__100H.1__bulk,100H,1,bulk,377.0,7.24125e-06
air,air__100H.1__bulk,100H,1,bulk,378.0,8.22067e-06
air,air__100H.1__bulk,100H,1,bulk,379.0,3.92548e-06
air,air__100H.1__bulk,100H,1,bulk,380.0,6.65358e-07
air,air__100H.1__bulk,100H,1,bulk,381.0,1.04533e-07
air,air__100H.1__bulk,100H,1,bulk,382.0,5.14156e-08
air,air__100H.1__bulk,100H,1,bulk,383.0,6.30556e-07
air,air__100H.1__bulk,100H,1,bulk,384.0,1.19143e-06
air,air__100H.1__bulk,100H,1,bulk,385.0,9.36035e-07
air,air__100H.1__bulk,100H,1,bulk,386.0,4.63832e-07
air,air__100H.1__bulk,100H,1,bulk,387.0,1.19534e-05
air,air__100H.1__bulk,100H,1,bulk,388.0,2.32411e-05
air,air__100H.1__bulk,100H,1,bulk,389.0,5.34031e-05
air,air__100H.1__bulk,100H,1,bulk,390.0,6.29047e-05
air,air__100H.1__bulk,100H,1,bulk,391.0,5.10691e-05
air,air__100H.1__bulk,100H,1,bulk,392.0,2.57012e-05
air,air__100H.1__bulk,100H,1,bulk,393.0,4.13478e-06
air,air__100H.1__bulk,100H,1,bulk,394.0,2.23003e-06
air,air__100H.1__bulk,100H,1,bulk,395.0,3.32413e-07
air,air__100H.1__bulk,100H,1,bulk,396.0,5.08641e-07
air,air__100H.1__bulk,100H,1,bulk,397.0,2.56057e-07
air,air__100H.1__bulk,100H,1,bulk,398.0,1.73518e-07
air,air__100H.1__bulk,100H,1,bulk,399.0,8.98373e-08
air,air__100H.1__bulk,100H,1,bulk,400.0,8.36258e-08
air,air__100H.1__bulk,100H,1,bulk,401.0,4.76762e-08
air,air__100H.1__bulk,100H,1,bulk,402.0,5.20115e-08
air,air__100H.1__bulk,100H,1,bulk,403.0,6.1312e-08
air,air__100H.1__bulk,100H,1,bulk,404.0,6.00168e-08
air,air__100H.1__bulk,100H,1,bulk,405.0,5.81569e-08
air,air__100H.1__bulk,100H,1,bulk,406.0,5.90472e-08
air,air__100H.1__bulk,100H,1,bulk,407.0,5.99028e-08
air,air__100H.1__bulk,100H,1,bulk,408.0,6.00655e-08
