peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
3,diameter,0.5mm,Middle,1,314.0,314.01428571428573,314.0,0.000136,0.00013600357142857142,3,0.09629999999998518,314.0963,314.0963,314.097313,,,,Ar II,Ar,II,Ar II,,,live_nist
4,diameter,0.5mm,Middle,1,356.0,355.5875,355.6,0.000101,0.00010236125,1,0.09037999999998192,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
4,diameter,0.5mm,Middle,1,356.0,355.5875,355.6,0.000101,0.00010236125,2,0.14593460000003233,355.4540654,,355.4540654,727720.0,AAA,,He I,He,I,He I,,727720.0,live_nist
4,diameter,0.5mm,Middle,1,356.0,355.5875,355.6,0.000101,0.00010236125,3,0.15850000000000364,355.4415,355.4415,355.4415948,982350.0,AAA,,He I,He,I,He I,,982350.0,live_nist
5,diameter,0.5mm,Middle,1,428.0,428.1551724137931,428.2,5.51e-05,5.527456896551724e-05,1,0.0020999999999844476,428.2021,,428.2021,,,,O II,O,II,O II,,,live_nist
5,diameter,0.5mm,Middle,1,428.0,428.1551724137931,428.2,5.51e-05,5.527456896551724e-05,2,0.06819999999999027,428.1318,428.1318,428.13134,,,,O II,O,II,O II,,,live_nist
5,diameter,0.5mm,Middle,1,428.0,428.1551724137931,428.2,5.51e-05,5.527456896551724e-05,3,0.08971000000002505,428.28971,428.28971,428.28972,13200000.0,B,,Ar II,Ar,II,Ar II,,13200000.0,live_nist
6,diameter,0.5mm,Middle,1,379.0,379.3695652173913,379.4,4.5e-05,4.5785326086956526e-05,1,0.032199999999988904,379.3678,379.3678,379.3678,,,,C I,C,I,C I,,,live_nist
6,diameter,0.5mm,Middle,1,379.0,379.3695652173913,379.4,4.5e-05,4.5785326086956526e-05,2,0.036100000000033106,379.4361,379.4361,379.4359,6860000.0,C,,O II,O,II,O II,,6860000.0,live_nist
6,diameter,0.5mm,Middle,1,379.0,379.3695652173913,379.4,4.5e-05,4.5785326086956526e-05,3,0.07739999999995462,379.3226,379.3226,379.322798,,,,Ar II,Ar,II,Ar II,,,live_nist
