Name,Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:32am,00:34am,00:36am,00:36am
Irradiance total,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Irradiance UVA,1.32E-03,1.41E-03,1.21E-03,1.21E-03
Irradiance UVB,2.50E-04,3.97E-04,2.98E-04,2.98E-04
Irradiance UVC,4.85E-04,2.35E-03,4.99E-04,4.99E-04
Irradiance @253.7nm,1.04E-04,5.54E-06,5.52E-06,5.52E-06
Irradiance @365nm,1.36E-05,2.60E-06,3.50E-06,3.50E-06
Irradiance WL range,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Spectral Centroid,322.2,292.2,321.9,321.9
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
356,3.89054E-05,5.71271E-05,4.03918E-05,4.03918E-05
357,3.54943E-05,3.98712E-05,3.82338E-05,3.82338E-05
358,4.01411E-05,2.02695E-05,2.38196E-05,2.38196E-05
359,2.85554E-05,6.71424E-06,9.66422E-06,9.66422E-06
360,5.84941E-06,8.27409E-07,1.36935E-06,1.36935E-06
361,2.88438E-06,4.08E-07,6.75236E-07,6.75236E-07
362,1.99872E-06,3.31082E-07,5.23974E-07,5.23974E-07
363,1.13682E-06,2.56228E-07,3.76771E-07,3.76771E-07
364,2.17376E-07,1.09747E-07,1.22459E-07,1.22459E-07
365,1.39385E-07,2.76362E-08,1.3137E-08,1.3137E-08
366,6.28767E-08,8.11228E-08,8.25484E-08,8.25484E-08
367,4.39753E-07,1.65551E-07,1.07371E-07,1.07371E-07
368,4.7489E-08,7.39313E-08,8.11955E-08,8.11955E-08
369,2.84021E-07,1.30418E-07,5.64435E-08,5.64435E-08
370,5.11335E-07,1.84704E-07,8.73414E-08,8.73414E-08
371,5.59094E-06,1.19607E-06,1.51453E-07,1.51453E-07
372,7.34765E-06,3.1181E-07,2.55192E-08,2.55192E-08
373,2.86621E-06,1.35547E-06,1.95099E-07,1.95099E-07
374,3.14493E-06,2.35885E-06,3.58134E-07,3.58134E-07
375,3.4131E-06,1.41992E-05,2.89991E-06,2.89991E-06
376,1.19656E-05,2.22369E-05,9.06584E-06,9.06584E-06
377,2.03229E-05,2.31112E-05,1.7601E-05,1.7601E-05
378,1.96559E-05,2.48618E-05,2.35492E-05,2.35492E-05
379,1.05806E-05,2.87999E-05,2.5209E-05,2.5209E-05
380,3.42111E-06,2.85938E-05,2.44247E-05,2.44247E-05
381,7.98271E-07,2.23463E-05,2.11085E-05,2.11085E-05
382,3.92636E-07,1.19413E-05,1.33431E-05,1.33431E-05
383,2.89073E-06,2.03735E-06,5.04844E-06,5.04844E-06
384,5.31003E-06,1.00261E-06,3.17271E-06,3.17271E-06
385,1.16167E-05,1.50101E-06,4.72763E-06,4.72763E-06
386,7.56499E-06,1.99695E-06,3.05922E-06,3.05922E-06
387,5.18641E-06,1.03826E-05,6.70533E-06,6.70533E-06
388,2.1826E-05,3.08281E-05,2.7207E-05,2.7207E-05
389,4.4134E-05,5.26052E-05,5.13697E-05,5.13697E-05
390,5.26455E-05,6.17802E-05,6.08802E-05,6.08802E-05
391,5.2547E-05,5.85596E-05,5.62936E-05,5.62936E-05
392,5.11721E-05,4.6174E-05,4.2574E-05,4.2574E-05
393,4.05336E-05,2.81244E-05,2.49519E-05,2.49519E-05
394,1.66383E-05,9.37824E-06,8.65988E-06,8.65988E-06
395,8.30356E-06,5.52357E-06,4.32184E-06,4.32184E-06
396,4.51112E-06,1.69789E-06,2.52708E-06,2.52708E-06
397,6.66904E-07,5.46641E-06,7.0782E-07,7.0782E-07
398,3.9736E-07,3.62467E-06,2.21245E-06,2.21245E-06
399,4.53776E-07,1.15657E-06,1.99746E-06,1.99746E-06
400,3.31899E-06,1.60023E-06,6.38624E-07,6.38624E-07
401,6.25696E-06,4.16516E-06,4.06144E-07,4.06144E-07
402,7.07537E-06,7.8799E-06,1.71162E-07,1.71162E-07
403,4.89703E-06,1.19336E-05,8.60439E-08,8.60439E-08
404,1.17404E-06,1.40635E-05,1.37107E-06,1.37107E-06
405,5.90231E-07,1.09016E-05,2.67015E-06,2.67015E-06
406,4.17713E-07,4.59893E-06,7.26598E-06,7.26598E-06
407,2.43235E-07,1.2781E-06,6.07417E-06,6.07417E-06
408,1.03727E-07,1.16004E-06,1.00825E-06,1.00825E-06
409,1.04333E-08,9.09456E-07,5.0702E-07,5.0702E-07
410,5.31699E-08,1.51077E-07,4.26866E-07,4.26866E-07
411,7.42833E-08,1.00785E-07,3.45508E-07,3.45508E-07
412,6.22572E-08,4.99856E-08,8.17937E-08,8.17937E-08
413,5.83095E-08,1.02727E-07,7.19877E-08,7.19877E-08
414,6.19443E-08,6.18702E-08,6.20817E-08,6.20817E-08
415,6.2469E-08,5.32139E-08,8.90113E-08,8.90113E-08
416,6.27002E-08,6.28429E-08,5.90021E-08,5.90021E-08
417,6.53187E-08,5.91602E-08,2.84818E-08,2.84818E-08
418,6.16545E-08,6.65803E-08,8.11865E-08,8.11865E-08
419,5.33503E-08,8.73868E-08,1.77686E-07,1.77686E-07
420,7.30169E-08,4.18428E-08,8.92909E-08,8.92909E-08
421,1.0222E-07,1.0985E-07,3.4333E-07,3.4333E-07
422,1.67162E-08,1.78225E-07,5.98741E-07,5.98741E-07
