Name,100H-2nd,Current Measurement,Current Measurement,100H.conttrial
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:18am,00:22am,00:25am,00:25am
Irradiance total,1.43E-03,1.87E-03,2.03E-03,2.03E-03
Irradiance UVA,9.66E-04,1.24E-03,1.33E-03,1.33E-03
Irradiance UVB,1.76E-04,3.61E-04,3.22E-04,3.22E-04
Irradiance UVC,3.16E-04,3.16E-04,3.84E-04,3.84E-04
Irradiance @253.7nm,5.52E-06,5.52E-06,5.52E-06,5.52E-06
Irradiance @365nm,6.17E-06,5.83E-06,8.08E-06,8.08E-06
Irradiance WL range,1.43E-03,1.87E-03,2.03E-03,2.03E-03
Spectral Centroid,320.3,322.2,325.1,325.1
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
412,6.13079E-08,6.13144E-08,6.00502E-08,6.00502E-08
413,6.16491E-08,6.15632E-08,6.62638E-08,6.62638E-08
414,6.19394E-08,6.194E-08,6.19313E-08,6.19313E-08
415,6.22506E-08,6.25769E-08,6.09806E-08,6.09806E-08
416,6.25649E-08,6.24704E-08,6.26741E-08,6.26741E-08
417,6.28769E-08,6.16109E-08,6.35153E-08,6.35153E-08
418,6.31891E-08,6.39314E-08,6.29487E-08,6.29487E-08
419,6.3506E-08,6.8346E-08,6.21347E-08,6.21347E-08
420,6.38267E-08,5.94656E-08,6.50107E-08,6.50107E-08
421,6.39986E-08,4.5878E-08,6.88721E-08,6.88721E-08
422,6.41714E-08,8.66634E-08,5.81396E-08,5.81396E-08
423,6.43452E-08,1.30612E-07,4.65848E-08,4.65848E-08
424,6.45199E-08,6.54833E-08,9.34244E-08,9.34244E-08
425,6.46956E-08,3.26874E-07,1.28024E-07,1.28024E-07
426,6.47949E-08,5.88989E-07,6.41101E-08,6.41101E-08
427,6.48945E-08,1.76918E-06,3.79383E-07,3.79383E-07
428,6.49944E-08,1.63757E-06,6.95626E-07,6.95626E-07
429,6.50946E-08,4.06432E-07,1.83383E-06,1.83383E-06
430,6.51951E-08,2.0353E-07,1.55847E-06,1.55847E-06
431,6.51543E-08,1.68878E-07,3.13752E-07,3.13752E-07
432,6.51136E-08,1.3427E-07,1.67873E-07,1.67873E-07
433,6.50729E-08,7.65669E-08,2.21764E-08,2.21764E-08
434,6.50322E-08,4.67394E-08,1.33302E-07,1.33302E-07
435,6.49916E-08,6.34164E-08,7.08704E-08,7.08704E-08
436,6.46984E-08,6.94337E-08,4.70259E-08,4.70259E-08
437,6.44078E-08,6.44649E-08,6.41944E-08,6.41944E-08
438,6.41198E-08,6.29194E-08,6.85997E-08,6.85997E-08
439,6.38343E-08,6.39028E-08,6.35788E-08,6.35788E-08
440,6.35514E-08,6.38505E-08,6.24351E-08,6.24351E-08
441,6.31364E-08,6.30994E-08,6.32746E-08,6.32746E-08
442,6.27268E-08,6.26539E-08,6.29989E-08,6.29989E-08
443,6.23225E-08,6.23365E-08,6.22704E-08,6.22704E-08
444,6.19233E-08,6.19408E-08,6.18583E-08,6.18583E-08
445,6.15293E-08,6.15247E-08,6.15464E-08,6.15464E-08
446,6.103E-08,6.10259E-08,6.10452E-08,6.10452E-08
447,6.05388E-08,6.05402E-08,6.05336E-08,6.05336E-08
448,6.00554E-08,6.00563E-08,6.00519E-08,6.00519E-08
449,5.95797E-08,5.95793E-08,5.95812E-08,5.95812E-08
450,5.91114E-08,5.91112E-08,5.91122E-08,5.91122E-08
451,5.85936E-08,5.85937E-08,5.85932E-08,5.85932E-08
452,5.80848E-08,5.80848E-08,5.80846E-08,5.80846E-08
453,5.75847E-08,5.75847E-08,5.75848E-08,5.75848E-08
454,5.70932E-08,5.70932E-08,5.70932E-08,5.70932E-08
455,5.66099E-08,5.661E-08,5.66099E-08,5.66099E-08
456,5.60244E-08,5.60244E-08,5.60243E-08,5.60243E-08
457,5.54507E-08,5.54507E-08,5.54508E-08,5.54508E-08
458,5.48888E-08,5.48888E-08,5.48888E-08,5.48888E-08
459,5.43381E-08,5.43381E-08,5.43381E-08,5.43381E-08
460,5.37983E-08,5.37983E-08,5.37983E-08,5.37983E-08
461,5.33136E-08,5.33136E-08,5.33136E-08,5.33136E-08
462,5.28376E-08,5.28376E-08,5.28376E-08,5.28376E-08
463,5.23699E-08,5.23699E-08,5.23699E-08,5.23699E-08
464,5.19105E-08,5.19105E-08,5.19105E-08,5.19105E-08
465,5.14591E-08,5.14591E-08,5.14591E-08,5.14591E-08
466,5.10722E-08,5.10722E-08,5.10721E-08,5.10721E-08
467,5.0691E-08,5.0691E-08,5.06908E-08,5.06908E-08
468,5.03155E-08,5.03155E-08,5.03157E-08,5.03157E-08
469,4.99455E-08,4.99455E-08,4.99461E-08,4.99461E-08
470,4.95809E-08,4.95809E-08,4.958E-08,4.958E-08
471,4.92709E-08,4.92709E-08,4.92687E-08,4.92687E-08
472,4.89648E-08,4.89648E-08,4.89688E-08,4.89688E-08
473,4.86624E-08,4.86624E-08,4.86699E-08,4.86699E-08
474,4.83637E-08,4.83637E-08,4.83459E-08,4.83459E-08
475,4.80687E-08,4.80687E-08,4.8044E-08,4.8044E-08
476,4.78076E-08,4.78076E-08,4.78836E-08,4.78836E-08
477,4.75493E-08,4.75493E-08,4.76271E-08,4.76271E-08
478,4.72937E-08,4.72937E-08,4.69781E-08,4.69781E-08
479,4.70409E-08,4.70409E-08,4.68162E-08,4.68162E-08
480,4.67908E-08,4.67908E-08,4.80736E-08,4.80736E-08
481,4.67491E-08,4.67491E-08,4.72995E-08,4.72995E-08
482,4.67076E-08,4.67076E-08,4.15471E-08,4.15471E-08
483,4.66661E-08,4.66661E-08,4.58702E-08,4.58702E-08
484,4.66247E-08,4.66246E-08,6.70183E-08,6.70183E-08
485,4.65833E-08,4.65833E-08,4.40862E-08,4.40862E-08
486,4.67114E-08,4.67115E-08,6.17331E-08,6.17331E-08
487,4.68404E-08,4.68404E-08,7.94775E-08,7.94775E-08
488,4.69704E-08,4.697E-08,3.52821E-07,3.52821E-07
489,4.71E-08,4.71003E-08,1.769E-07,1.769E-07
490,4.72298E-08,4.72314E-08,7.23097E-07,7.23097E-07
491,4.75627E-08,4.75611E-08,1.27766E-06,1.27766E-06
492,4.79013E-08,4.78955E-08,6.92488E-06,6.92488E-06
493,4.82265E-08,4.82346E-08,8.06982E-06,8.06982E-06
494,4.85575E-08,4.85786E-08,2.82684E-06,2.82684E-06
495,4.89658E-08,4.89275E-08,1.42357E-06,1.42357E-06
496,4.93094E-08,4.92344E-08,8.91591E-07,8.91591E-07
497,4.93716E-08,4.95451E-08,3.52898E-07,3.52898E-07
498,4.96028E-08,4.98598E-08,1.78254E-07,1.78254E-07
499,5.09391E-08,5.01786E-08,1.03579E-07,1.03579E-07
500,5.13396E-08,5.05014E-08,2.79433E-08,2.79433E-08
