Name,Current Measurement,Current Measurement,Current Measurement,Current Measurement
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:44am,00:46am,00:48am,00:50am
377,5.07273E-05,4.99825E-05,4.08697E-05,2.34501E-05
378,7.24947E-05,6.13668E-05,5.00221E-05,3.48802E-05
379,7.96838E-05,5.77034E-05,5.12442E-05,4.75984E-05
380,7.37338E-05,4.79434E-05,4.80282E-05,4.84808E-05
381,5.70074E-05,3.72506E-05,3.98293E-05,3.69132E-05
382,3.12929E-05,2.60174E-05,2.23267E-05,2.21058E-05
383,6.74091E-06,1.54842E-05,3.86036E-06,1.06363E-05
384,3.56975E-06,7.19393E-06,4.17668E-06,6.09508E-06
385,4.97053E-07,1.19086E-06,4.48317E-06,5.89581E-06
386,6.01816E-06,4.1618E-06,5.73284E-06,5.61702E-06
387,1.60604E-05,7.08007E-06,1.36662E-05,1.29898E-05
388,3.61465E-05,3.85077E-05,4.41994E-05,3.7646E-05
389,5.71332E-05,7.2934E-05,8.0594E-05,6.63044E-05
390,6.67466E-05,8.59634E-05,9.8783E-05,8.07937E-05
391,6.35737E-05,7.85628E-05,9.71005E-05,7.98137E-05
392,4.94247E-05,5.84509E-05,7.98375E-05,6.64737E-05
393,3.10673E-05,3.71649E-05,5.61226E-05,4.76759E-05
394,1.5657E-05,2.38512E-05,3.41768E-05,2.98135E-05
395,8.36819E-06,1.83754E-05,1.6636E-05,1.55118E-05
396,1.10349E-05,1.80434E-05,4.83439E-06,6.39876E-06
397,1.82891E-05,1.75148E-05,2.4337E-06,3.10258E-06
398,2.42466E-05,1.46787E-05,1.96923E-06,5.45049E-06
399,2.396E-05,1.38967E-05,1.49832E-06,1.14105E-05
400,1.70792E-05,1.55545E-05,4.63684E-06,1.61645E-05
401,1.00977E-05,1.29664E-05,8.88185E-06,1.13139E-05
402,6.79412E-06,6.20042E-06,1.30161E-05,1.05297E-06
403,6.73925E-06,3.94956E-06,1.37972E-05,4.42168E-06
404,9.39866E-06,6.8225E-06,1.23257E-05,1.89223E-05
405,1.41532E-05,7.25166E-06,1.3683E-05,2.11113E-05
406,1.68155E-05,4.07663E-06,1.5548E-05,1.00406E-05
407,1.12226E-05,1.32037E-06,1.04287E-05,2.38934E-06
408,1.70888E-06,1.76272E-07,1.60276E-06,1.19946E-06
409,8.5935E-07,1.09478E-07,8.05985E-07,8.72951E-07
410,7.07439E-07,4.19119E-08,7.97007E-07,1.45593E-07
411,5.53328E-07,9.29238E-08,7.87307E-07,9.83393E-08
412,9.66115E-08,6.32685E-08,6.39814E-07,5.06085E-08
413,7.94762E-08,5.96075E-08,3.49799E-07,1.01312E-07
414,6.21662E-08,6.19085E-08,6.12682E-08,6.18669E-08
415,9.71605E-08,3.76616E-08,9.7944E-08,4.93568E-08
416,5.97193E-08,7.02047E-08,1.3497E-07,6.41075E-08
417,4.78719E-08,1.66828E-07,1.55897E-06,7.65637E-08
418,6.82231E-08,1.97077E-09,3.47619E-06,5.62995E-08
419,9.08338E-08,2.14574E-07,5.26012E-06,2.02427E-08
420,4.06512E-08,4.29321E-07,6.68291E-06,1.02372E-07
421,1.10939E-07,2.24799E-06,7.19212E-06,2.23767E-07
422,1.81606E-07,2.1343E-06,5.59875E-06,2.70433E-07
423,4.10033E-07,8.46599E-08,3.71913E-06,3.17352E-07
424,2.05573E-07,1.23961E-06,8.0881E-06,5.53027E-06
425,1.50441E-06,6.72504E-06,1.90685E-05,1.55319E-05
426,2.80698E-06,1.20461E-05,2.87337E-05,2.50434E-05
427,9.19075E-06,1.46757E-05,3.23525E-05,3.13562E-05
428,9.31766E-06,1.44854E-05,2.91025E-05,3.4585E-05
429,3.7053E-06,1.18014E-05,2.05075E-05,3.29247E-05
430,1.52151E-07,7.32513E-06,9.93774E-06,2.34817E-05
431,1.69179E-07,2.82123E-06,1.40295E-06,1.05895E-05
432,1.86185E-07,5.06274E-07,7.01034E-07,2.65056E-06
433,8.51946E-08,6.99934E-08,5.65633E-07,2.00482E-07
434,3.30135E-08,3.95608E-08,4.304E-07,1.26834E-07
435,6.2236E-08,5.66361E-08,9.70894E-08,5.32779E-08
436,7.29621E-08,1.68808E-07,7.98519E-08,3.98699E-08
437,6.45066E-08,6.93027E-08,6.27693E-08,6.13428E-08
438,6.21214E-08,1.13995E-07,1.29827E-07,3.59277E-07
439,6.39303E-08,1.5829E-07,5.27524E-08,1.78839E-07
440,6.368E-08,2.15863E-06,1.00831E-07,4.3335E-07
441,6.32776E-08,3.11703E-06,1.4817E-07,6.84157E-07
442,6.40807E-08,1.50213E-06,9.23202E-07,6.38036E-06
443,6.11199E-08,7.46226E-07,1.21448E-06,8.4653E-06
444,5.64996E-08,4.41063E-07,5.62119E-07,3.59885E-06
445,6.78536E-08,1.39783E-07,2.79271E-07,1.78797E-06
446,8.06611E-08,1.303E-07,2.33944E-07,1.04461E-06
447,3.04704E-08,3.6728E-08,1.89346E-07,3.13213E-07
448,1.17643E-07,4.43368E-08,2.99068E-07,2.27799E-07
449,2.03434E-07,6.64891E-08,1.48349E-07,1.2207E-07
450,5.37292E-07,6.25684E-08,1.6582E-06,1.80014E-08
451,5.02954E-07,5.6646E-08,3.14145E-06,9.05075E-08
452,1.5787E-07,5.73423E-08,7.67772E-06,8.06822E-08
453,9.73753E-08,5.81696E-08,6.38058E-06,3.86912E-09
454,3.79136E-08,5.72917E-08,1.15636E-06,9.53243E-09
455,7.60673E-08,5.62303E-08,5.73284E-07,2.83246E-07
456,5.99194E-08,5.58431E-08,4.50672E-07,5.51277E-07
457,4.74023E-08,5.64463E-08,3.30571E-07,3.95835E-07
458,5.32167E-08,5.52487E-08,8.24631E-08,7.69075E-08
459,6.81335E-08,5.05549E-08,6.70688E-08,2.53804E-08
460,5.50839E-08,5.34213E-08,5.19803E-08,5.56772E-08
461,4.4075E-09,6.79254E-08,7.08187E-08,6.61215E-08
462,6.14051E-08,5.02658E-08,5.21031E-08,7.63793E-08
463,2.37593E-07,6.4087E-08,4.88125E-08,7.36989E-07
464,1.17754E-07,7.76658E-08,5.20096E-08,1.01481E-06
465,3.55326E-07,2.59973E-07,4.94017E-08,4.10592E-07
466,5.89455E-07,1.29009E-07,5.32766E-08,6.69793E-08
467,3.88704E-06,5.22804E-07,6.19653E-08,8.66111E-07
468,4.7898E-06,9.10765E-07,3.77843E-08,2.61288E-06
469,1.85435E-06,4.51674E-06,8.32496E-09,4.32773E-06
470,9.20408E-07,4.96248E-06,1.10233E-07,3.99569E-06
471,5.61081E-07,1.52262E-06,1.96631E-07,1.62843E-06
472,2.0622E-07,1.24237E-06,9.77045E-08,8.09154E-07
473,1.31777E-07,9.65587E-07,7.33039E-07,4.64036E-07
474,3.87489E-09,1.42485E-06,1.36057E-06,1.23154E-07
475,3.03632E-08,4.01654E-07,3.9601E-06,7.78326E-08
476,6.00546E-08,1.99736E-07,3.64302E-06,2.72232E-08
477,5.11138E-08,1.60927E-07,1.0921E-06,4.15613E-08
478,4.39966E-08,1.22536E-07,5.43116E-07,5.28188E-08
479,4.6386E-08,6.78828E-08,3.41155E-07,4.81293E-08
480,4.7661E-08,4.61488E-08,1.41341E-07,4.54002E-08
481,4.68505E-08,2.47537E-08,5.77844E-08,4.66097E-08
482,4.64799E-08,2.78465E-07,2.17487E-08,4.67991E-08
483,4.66569E-08,4.66315E-07,4.56303E-08,4.66366E-08
484,4.66834E-08,2.98874E-07,5.39624E-08,4.76764E-08
485,4.65815E-08,4.04968E-08,4.62682E-08,4.64455E-08
486,4.66956E-08,4.61321E-08,4.12539E-08,4.22523E-08
487,4.68423E-08,5.17984E-08,4.85783E-08,4.86784E-08
488,4.69777E-08,5.93981E-08,6.21702E-08,6.42118E-08
489,4.70968E-08,4.51377E-08,3.6489E-08,3.48108E-08
490,4.72152E-08,4.48568E-08,7.14987E-08,7.61822E-08
491,4.75772E-08,4.7546E-08,1.0715E-07,1.18277E-07
492,4.79527E-08,4.59483E-08,3.85496E-07,5.63087E-07
493,4.81546E-08,5.1777E-08,4.63027E-07,1.21015E-06
494,4.83702E-08,5.82553E-08,2.18195E-07,1.63474E-06
495,4.93056E-08,3.11173E-08,1.09881E-07,1.02856E-06
496,4.99744E-08,1.42742E-08,2.19404E-07,8.95311E-09
497,4.78337E-08,1.30468E-07,3.3031E-07,7.8015E-07
498,4.73246E-08,1.69761E-07,8.99552E-07,2.68927E-06
499,5.76797E-08,8.5423E-08,9.06028E-07,2.51027E-06
500,5.87692E-08,4.29863E-08,2.92959E-07,5.41174E-07
