peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
7,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,404.0,404.3838174273859,404.4,1.61e-06,1.6987577800829875e-06
8,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,352.0,352.0364583333333,352.0,5.34e-07,5.343828125e-07
9,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07
10,diameter,1mm,0.5 cm below,diameter__1mm__0_5_cm_below,,310.0,309.75555555555553,309.8,2.62e-07,2.6737777777777777e-07
1,diameter,1mm,Base,diameter__1mm__base,,336.0,335.8541666666667,335.9,0.000174,0.00017451041666666667
2,diameter,1mm,Base,diameter__1mm__base,,356.0,355.8215434083601,355.8,6.96e-05,7.009521704180064e-05
3,diameter,1mm,Base,diameter__1mm__base,,390.0,390.4382716049383,390.4,5.28e-05,5.435586419753087e-05
4,diameter,1mm,Base,diameter__1mm__base,,313.0,313.2911392405063,313.3,5.12e-05,5.186962025316455e-05
5,diameter,1mm,Base,diameter__1mm__base,,379.0,379.0739130434783,379.1,6.58e-06,6.589423913043478e-06
6,diameter,1mm,Base,diameter__1mm__base,,308.0,307.98646723646726,308.0,1.42e-06,1.4201285612535611e-06
7,diameter,1mm,Base,diameter__1mm__base,,350.0,350.09574468085106,350.1,1.22e-06,1.2268936170212765e-06
8,diameter,1mm,Base,diameter__1mm__base,,329.0,329.05128205128204,329.1,1.05e-06,1.0515384615384615e-06
9,diameter,1mm,Base,diameter__1mm__base,,384.0,383.8466386554622,383.8,9.59e-07,9.645976890756303e-07
10,diameter,1mm,Base,diameter__1mm__base,,321.0,320.99824435040966,321.0,6.33e-07,6.330017117583506e-07
1,diameter,1mm,Middle,diameter__1mm__middle,,336.0,335.54,335.5,0.000412,0.00041993499999999997
2,diameter,1mm,Middle,diameter__1mm__middle,,390.0,390.37719298245617,390.4,0.000272,0.0002760548245614035
3,diameter,1mm,Middle,diameter__1mm__middle,,356.0,355.87735849056605,355.9,0.000252,0.0002523985849056604
4,diameter,1mm,Middle,diameter__1mm__middle,,314.0,314.3909090909091,314.4,0.000231,0.00023520227272727273
5,diameter,1mm,Middle,diameter__1mm__middle,,379.0,378.8898305084746,378.9,7.89e-05,7.893580508474575e-05
6,diameter,1mm,Middle,diameter__1mm__middle,,429.0,428.507299270073,428.5,6.89e-05,7.22257299270073e-05
7,diameter,1mm,Middle,diameter__1mm__middle,,400.0,400.02284263959393,400.0,1.12e-05,1.1201027918781726e-05
