dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
diameter,0.5mm,Tip,1.0,10.0,350.1,4.930608288770054e-07,0.0668999999999755,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,2.0,4.0,355.3,1.6112500000000002e-05,0.1415000000000077,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,,4.0,355.3,1.6112500000000002e-05,0.6999999999999886,N2,356.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Tip,1.0,8.0,384.2,8.216479779411765e-07,0.0187000000000239,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,2.0,1.0,390.3,4.577763157894737e-05,0.2815500000000384,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,,1.0,390.3,4.577763157894737e-05,0.3000000000000113,N2+,390.0,configs/target_species_lines.csv,target_match
diameter,0.5mm,Tip,2.0,5.0,427.4,5.620804455445545e-06,0.0720000000000027,N I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
diameter,0.5mm,Tip,1.0,5.0,427.4,5.620804455445545e-06,0.0240000000000009,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,10.0,259.9,5.231225089388365e-07,,Unassigned,,,sub300_unassigned
air,100H.cont.trial,bulk,1.0,7.0,304.1,1.1544031288848344e-06,0.0964000000000169,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
