peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
5,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,236.0,235.5621097874615,235.6,0.000156144,0.00016708517958676354
6,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,378.0,378.4127710729217,378.4,0.000109518,0.00011095656910479316
7,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,390.0,389.91334022926134,389.9,6.94005e-05,6.944478747583599e-05
8,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,374.0,374.239874629604,374.2,6.90278e-05,6.942296346794391e-05
9,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,255.0,254.8333763379425,254.8,5.31811e-05,5.378365281791541e-05
10,air,5H..9A,bulk,air__5H..9A.1__bulk,1.0,281.0,281.2751136496095,281.3,4.49747e-05,4.594868485371255e-05
1,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,335.0,335.2967387025258,335.3,0.000269886,0.0002720108716641112
2,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,356.0,356.168821603928,356.2,0.000152976,0.00015315013948445172
3,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,313.0,313.42293080054276,313.4,0.000146577,0.00014855441295793758
4,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,390.0,390.17380248373746,390.2,0.000131481,0.00013186410412477823
5,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,379.0,379.0360037028044,379.0,7.03445e-05,7.035304187849035e-05
6,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,236.0,235.5449638037844,235.5,5.19831e-05,5.579004657658858e-05
7,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,318.0,318.33898805068554,318.3,5.02401e-05,5.285007069864304e-05
8,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,306.0,306.42223767803017,306.4,3.41387e-05,3.499742587769381e-05
9,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,285.0,285.48888673250696,285.5,3.27965e-05,3.5653671397586445e-05
10,air,5H..9A,bulk,air__5H..9A.2__bulk,2.0,426.0,426.4711726150116,426.5,3.13577e-05,3.189793474105693e-05
1,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,201.0,200.94836691153145,200.9,0.000790754,0.0007916112125347548
2,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,209.0,208.75096183073515,208.8,0.000439645,0.0004503569410341309
3,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,335.0,335.4052456519997,335.4,0.000248424,0.00025252204665584675
4,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,314.0,314.4213441443499,314.4,0.000172867,0.000175976098441158
5,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,356.0,355.96611383088555,356.0,0.000157619,0.000157636239588537
6,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,390.0,390.11754368595615,390.1,0.000110319,0.00011045855374115142
7,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,309.0,309.37015131953893,309.4,7.51201e-05,7.570909403343336e-05
8,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,259.0,258.71132233441705,258.7,7.26867e-05,7.515516828451678e-05
9,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,379.0,378.7107373697401,378.7,7.01693e-05,7.048646201094842e-05
10,air,5H..9A,bulk,air__5H..9A.3__bulk,3.0,351.0,351.2324822946659,351.2,4.874e-05,4.913608008542227e-05
1,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,207.0,206.81177423063656,206.8,0.000523603,0.0005309985787040585
2,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,335.0,335.4185283720252,335.4,0.000247561,0.0002523673798243376
3,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,228.0,227.9363991723553,227.9,0.000207343,0.00020769587329197976
4,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,356.0,355.5454251274169,355.5,0.000150624,0.00015317825620904458
5,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,314.0,313.9216275259421,313.9,0.0001211,0.00012116185547515019
6,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,390.0,390.11476344290327,390.1,0.000115181,0.00011531963423902717
7,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,379.0,378.60353438772523,378.6,5.66983e-05,5.7396971525231165e-05
8,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,202.0,201.9817587407812,202.0,5.18535e-05,5.186324539273764e-05
9,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,264.0,264.34613157154905,264.3,4.54549e-05,4.758566864787742e-05
10,air,5H..9A,bulk,air__5H..9A.4__bulk,4.0,374.0,374.219276576974,374.2,2.7798e-05,2.785250119320688e-05
